transaction_id,date,location,category,quantity,unit_price,discount,customer_type,labor_hours,gross_revenue,net_revenue,outlier_candidate
T001,2026-09-01,Downtown,Entree,2.0,14.0,0.0,Member,0.3,28.0,28.0,False
T002,2026-09-02,Downtown,Beverage,3.0,4.5,0.0,Guest,0.15,13.5,13.5,False
T003,2026-09-03,Downtown,Dessert,1.0,8.0,0.1,Member,0.1,8.0,7.2,False
T004,2026-09-04,Downtown,Beverage,2.0,5.0,0.0,Guest,0.1,10.0,10.0,False
T005,2026-09-05,Riverside,Entree,4.0,16.0,0.05,Member,0.5,64.0,60.8,True
T006,2026-09-06,Airport,Beverage,2.0,4.0,0.0,Guest,0.1,8.0,8.0,False
T008,2026-09-08,Airport,Entree,5.0,20.0,0.1,Corporate,0.6,100.0,90.0,True
T014,2026-09-14,Airport,Beverage,3.0,4.5,0.0,Unknown,0.15,13.5,13.5,False
T017,2026-09-17,Airport,Dessert,2.0,8.5,0.0,Guest,0.1,17.0,17.0,False
T018,2026-09-18,Downtown,Beverage,4.0,4.75,0.05,Member,0.15,19.0,18.05,False
T019,2026-09-19,Riverside,Entree,2.0,18.0,0.0,Guest,0.25,36.0,36.0,False
T020,2026-09-20,Airport,Dessert,3.0,7.5,0.1,Member,0.15,22.5,20.25,False
T021,2026-09-21,Downtown,Beverage,5.0,5.0,0.0,Corporate,0.2,25.0,25.0,False
T022,2026-09-22,Riverside,Entree,1.0,19.0,0.0,Guest,0.15,19.0,19.0,False
T023,2026-09-23,Airport,Beverage,6.0,4.0,0.05,Member,0.2,24.0,22.799999999999997,False
T024,2026-09-24,Downtown,Dessert,2.0,9.0,0.0,Guest,0.1,18.0,18.0,False
T025,2026-09-25,Riverside,Entree,4.0,15.5,0.1,Member,0.45,62.0,55.800000000000004,True
T026,2026-09-26,Airport,Beverage,3.0,4.5,0.0,Guest,0.15,13.5,13.5,False
T027,2026-09-27,Downtown,Catering,50.0,25.0,0.0,Corporate,6.0,1250.0,1250.0,True
T028,2026-09-28,Riverside,Dessert,2.0,8.0,0.05,Member,0.1,16.0,15.2,False
T029,2026-09-29,Airport,Entree,3.0,14.5,0.0,Guest,0.35,43.5,43.5,False
T030,2026-09-30,Downtown,Beverage,2.0,5.25,0.0,Member,0.1,10.5,10.5,False
T031,2026-10-01,Riverside,Entree,2.0,16.5,0.05,Guest,0.25,33.0,31.349999999999998,False
T033,2026-10-03,Downtown,Entree,3.0,14.0,0.1,Guest,0.3,42.0,37.800000000000004,False
T034,2026-10-04,Riverside,Beverage,4.0,4.25,0.0,Member,0.15,17.0,17.0,False
T035,2026-10-05,Airport,Entree,2.0,15.0,0.05,Corporate,0.25,30.0,28.5,False
T036,2026-10-06,Downtown,Dessert,3.0,8.0,0.0,Guest,0.15,24.0,24.0,False
T037,2026-10-07,Riverside,Entree,1.0,20.0,0.0,Member,0.15,20.0,20.0,False
T038,2026-10-08,Airport,Beverage,5.0,4.0,0.1,Guest,0.2,20.0,18.0,False
T039,2026-10-09,Downtown,Entree,2.0,13.5,0.0,Member,0.25,27.0,27.0,False
T040,2026-10-10,Riverside,Dessert,2.0,7.5,0.05,Guest,0.1,15.0,14.25,False
