date,location_id,location_name,revenue,transactions,customers,labor_hours,labor_cost,revenue_per_labor_hour,day_of_week,promotion_active,average_transaction_value
2026-07-06,L01,Downtown,1085,45,50,41.4,765.9,26.21,Monday,false,24.11
2026-07-06,L02,Midtown,1138,45,50,40.0,772.0,28.45,Monday,true,25.29
2026-07-06,L03,Riverside,871,32,36,33.6,675.36,25.92,Monday,false,27.22
2026-07-06,L04,Airport,1023,36,40,41.2,861.08,24.83,Monday,false,28.42
2026-07-07,L01,Downtown,1181,49,56,44.1,815.85,26.78,Tuesday,false,24.1
2026-07-07,L02,Midtown,1064,42,48,39.7,766.21,26.8,Tuesday,false,25.33
2026-07-07,L03,Riverside,967,36,41,33.3,669.33,29.04,Tuesday,false,26.86
2026-07-07,L04,Airport,1119,39,44,40.9,854.81,27.36,Tuesday,false,28.69
2026-07-08,L01,Downtown,1437,60,70,46.6,862.1,30.84,Wednesday,true,23.95
2026-07-08,L02,Midtown,1150,45,52,39.2,756.56,29.34,Wednesday,false,25.56
2026-07-08,L03,Riverside,902,33,38,35.8,719.58,25.2,Wednesday,false,27.33
2026-07-08,L04,Airport,1205,42,49,43.4,907.06,27.76,Wednesday,false,28.69
2026-07-09,L01,Downtown,1333,56,63,45.7,845.45,29.17,Thursday,false,23.8
2026-07-09,L02,Midtown,1065,42,47,38.3,739.19,27.81,Thursday,false,25.36
2026-07-09,L03,Riverside,968,36,40,34.9,701.49,27.74,Thursday,false,26.89
2026-07-09,L04,Airport,1441,51,57,45.5,950.95,31.67,Thursday,true,28.25
2026-07-10,L01,Downtown,1409,59,67,45.1,834.35,31.24,Friday,false,23.88
2026-07-10,L02,Midtown,1141,45,51,40.7,785.51,28.03,Friday,false,25.36
2026-07-10,L03,Riverside,1044,39,44,37.3,749.73,27.99,Friday,false,26.77
2026-07-10,L04,Airport,1196,42,48,41.9,875.71,28.54,Friday,false,28.48
2026-07-11,L01,Downtown,1439,60,70,46.0,851.0,31.28,Saturday,false,23.98
2026-07-11,L02,Midtown,1322,52,60,41.6,802.88,31.78,Saturday,false,25.42
2026-07-11,L03,Riverside,1395,52,60,41.2,828.12,33.86,Saturday,true,26.83
2026-07-11,L04,Airport,1377,48,56,45.8,957.22,30.07,Saturday,false,28.69
2026-07-12,L01,Downtown,1420,59,66,46.9,867.65,30.28,Sunday,false,24.07
2026-07-12,L02,Midtown,1303,51,57,42.5,820.25,30.66,Sunday,false,25.55
2026-07-12,L03,Riverside,1055,39,44,36.1,725.61,29.22,Sunday,false,27.05
2026-07-12,L04,Airport,1358,48,54,43.7,913.33,31.08,Sunday,false,28.29
2026-07-13,L01,Downtown,1221,51,58,42.0,777.0,29.07,Monday,false,23.94
2026-07-13,L02,Midtown,1123,44,50,40.6,783.58,27.66,Monday,true,25.52
2026-07-13,L03,Riverside,856,32,36,34.2,687.42,25.03,Monday,false,26.75
2026-07-13,L04,Airport,1159,41,47,41.8,873.62,27.73,Monday,false,28.27
2026-07-14,L01,Downtown,1317,55,64,44.7,826.95,29.46,Tuesday,false,23.95
2026-07-14,L02,Midtown,1049,41,48,37.3,719.89,28.12,Tuesday,false,25.59
2026-07-14,L03,Riverside,952,35,41,33.9,681.39,28.08,Tuesday,false,27.2
2026-07-14,L04,Airport,1104,39,45,41.5,867.35,26.6,Tuesday,false,28.31
2026-07-15,L01,Downtown,1422,59,66,47.2,873.2,30.13,Wednesday,true,24.1
2026-07-15,L02,Midtown,1135,45,50,39.8,768.14,28.52,Wednesday,false,25.22
2026-07-15,L03,Riverside,1038,38,43,36.4,731.64,28.52,Wednesday,false,27.32
2026-07-15,L04,Airport,1190,42,47,41.0,856.9,29.02,Wednesday,false,28.33
2026-07-16,L01,Downtown,1318,55,63,43.3,801.05,30.44,Thursday,false,23.96
2026-07-16,L02,Midtown,1201,47,54,38.9,750.77,30.87,Thursday,false,25.55
2026-07-16,L03,Riverside,953,35,40,35.5,713.55,26.85,Thursday,false,27.23
2026-07-16,L04,Airport,1426,50,57,46.1,963.49,30.93,Thursday,true,28.52
2026-07-17,L01,Downtown,1394,58,67,45.7,845.45,30.5,Friday,false,24.03
2026-07-17,L02,Midtown,1126,44,51,41.3,797.09,27.26,Friday,false,25.59
2026-07-17,L03,Riverside,1029,38,44,34.9,701.49,29.48,Friday,false,27.08
2026-07-17,L04,Airport,1332,47,55,42.5,888.25,31.34,Friday,false,28.34
2026-07-18,L01,Downtown,2475,103,115,46.6,862.1,53.11,Saturday,false,24.03
2026-07-18,L02,Midtown,1307,51,57,42.2,814.46,30.97,Saturday,false,25.63
2026-07-18,L03,Riverside,1380,51,57,41.8,840.18,33.01,Saturday,true,27.06
2026-07-18,L04,Airport,1513,53,59,46.4,969.76,32.61,Saturday,false,28.55
2026-07-19,L01,Downtown,1405,59,67,47.5,878.75,29.58,Sunday,false,23.81
2026-07-19,L02,Midtown,1288,51,58,40.1,773.93,32.12,Sunday,false,25.25
2026-07-19,L03,Riverside,1191,44,50,36.7,737.67,32.45,Sunday,false,27.07
2026-07-19,L04,Airport,1343,47,54,44.3,925.87,30.32,Sunday,false,28.57
2026-07-20,L01,Downtown,1206,50,58,42.6,788.1,28.31,Monday,false,24.12
2026-07-20,L02,Midtown,1259,49,57,41.2,795.16,30.56,Monday,true,25.69
2026-07-20,L03,Riverside,841,31,36,34.8,699.48,24.17,Monday,false,27.13
2026-07-20,L04,Airport,1144,40,46,39.4,823.46,29.04,Monday,false,28.6
2026-07-21,L01,Downtown,1302,54,60,42.3,782.55,30.78,Tuesday,false,24.11
2026-07-21,L02,Midtown,1034,41,46,37.9,731.47,27.28,Tuesday,false,25.22
2026-07-21,L03,Riverside,937,35,39,34.5,693.45,27.16,Tuesday,false,26.77
2026-07-21,L04,Airport,1240,44,49,42.1,879.89,29.45,Tuesday,false,28.18
2026-07-22,L01,Downtown,1558,65,74,47.8,884.3,32.59,Wednesday,true,23.97
2026-07-22,L02,Midtown,1120,44,50,40.4,779.72,27.72,Wednesday,false,25.45
2026-07-22,L03,Riverside,1023,38,43,34.0,683.4,30.09,Wednesday,false,26.92
2026-07-22,L04,Airport,1326,47,54,41.6,869.44,31.88,Wednesday,false,28.21
2026-07-23,L01,Downtown,1303,54,63,43.9,812.15,29.68,Thursday,false,24.13
2026-07-23,L02,Midtown,1186,47,55,39.5,762.35,30.03,Thursday,false,25.23
2026-07-23,L03,Riverside,1089,40,46,36.1,725.61,30.17,Thursday,false,27.23
2026-07-23,L04,Airport,1411,50,58,46.7,976.03,30.21,Thursday,true,28.22
2026-07-24,L01,Downtown,1379,57,64,46.3,856.55,29.78,Friday,false,24.19
2026-07-24,L02,Midtown,1262,49,55,38.9,750.77,32.44,Friday,false,25.76
2026-07-24,L03,Riverside,1014,38,43,35.5,713.55,28.56,Friday,false,26.68
2026-07-24,L04,Airport,1317,46,52,43.1,900.79,30.56,Friday,false,28.63
2026-07-25,L01,Downtown,1560,65,74,47.2,873.2,33.05,Saturday,false,24.0
2026-07-25,L02,Midtown,1292,51,58,42.8,826.04,30.19,Saturday,false,25.33
2026-07-25,L03,Riverside,1365,51,58,42.4,852.24,32.19,Saturday,true,26.76
2026-07-25,L04,Airport,1498,53,60,44.0,919.6,34.05,Saturday,false,28.26
2026-07-26,L01,Downtown,1541,64,74,45.1,834.35,34.17,Sunday,false,24.08
2026-07-26,L02,Midtown,1273,50,58,40.7,785.51,31.28,Sunday,false,25.46
2026-07-26,L03,Riverside,1176,44,51,37.3,749.73,31.53,Sunday,false,26.73
2026-07-26,L04,Airport,1479,52,60,44.9,938.41,32.94,Sunday,false,28.44
