date,location_id,customers,revenue,labor_hours,temperature,promotion_active
2026-04-01,RIV,120,2229.11,36.2,10.8,True
2026-04-01,MID,133,2106.99,40.8,10.9,False
2026-04-01,HBR,155,2883.36,43.2,13.6,False
2026-04-02,RIV,112,1751.08,38.6,15.2,False
2026-04-02,MID,120,1961.8,39.0,13.9,False
2026-04-02,HBR,146,2851.38,44.1,11.0,False
2026-04-03,RIV,109,1771.68,31.2,12.0,False
2026-04-03,MID,118,2032.97,39.4,10.9,False
2026-04-03,HBR,159,2706.1,44.8,12.8,False
2026-04-04,RIV,134,2128.64,34.3,15.8,False
2026-04-04,MID,168,3081.99,40.0,17.8,False
2026-04-04,HBR,188,3422.8,47.5,18.9,False
2026-04-05,RIV,159,2783.78,39.6,10.2,False
2026-04-05,MID,174,2996.09,43.3,17.1,False
2026-04-05,HBR,201,3616.59,48.2,14.1,False
2026-04-06,RIV,120,2144.79,36.5,18.1,False
2026-04-06,MID,135,2172.12,41.7,18.5,False
2026-04-06,HBR,162,2925.42,47.4,19.7,True
2026-04-07,RIV,110,2153.02,37.3,20.4,False
2026-04-07,MID,155,2578.81,43.3,22.4,True
2026-04-07,HBR,168,2870.32,48.2,16.3,False
2026-04-08,RIV,112,1996.03,29.2,19.3,True
2026-04-08,MID,145,2678.26,46.2,20.7,False
2026-04-08,HBR,149,2810.83,45.5,17.5,False
2026-04-09,RIV,95,1511.45,31.6,18.9,False
2026-04-09,MID,131,2404.59,40.6,23.5,False
2026-04-09,HBR,150,2870.76,40.8,20.0,False
2026-04-10,RIV,92,1385.33,34.8,18.5,False
2026-04-10,MID,142,2730.51,41.6,20.1,False
2026-04-10,HBR,142,2477.45,43.3,18.4,False
2026-04-11,RIV,132,2061.16,37.8,17.1,False
2026-04-11,MID,159,2896.8,40.1,25.4,False
2026-04-11,HBR,191,3514.95,45.2,22.4,False
2026-04-12,RIV,114,1812.65,32.3,22.8,False
2026-04-12,MID,144,2556.59,42.5,20.7,False
2026-04-12,HBR,178,3135.4,46.5,21.7,False
2026-04-13,RIV,89,1383.04,34.3,25.7,False
2026-04-13,MID,118,2201.89,40.2,24.8,False
2026-04-13,HBR,139,2640.93,45.7,23.9,True
2026-04-14,RIV,93,1481.16,33.4,22.8,False
2026-04-14,MID,141,2542.23,40.4,24.9,True
2026-04-14,HBR,149,2695.32,45.0,23.0,False
2026-04-15,RIV,100,1749.35,34.6,25.1,True
2026-04-15,MID,114,1972.06,35.4,23.9,False
2026-04-15,HBR,151,2716.78,44.3,27.7,False
2026-04-16,RIV,95,1605.02,30.7,26.6,False
2026-04-16,MID,128,2232.89,41.3,27.0,False
2026-04-16,HBR,113,2325.73,37.9,25.7,False
2026-04-17,RIV,99,1597.92,32.7,23.9,False
2026-04-17,MID,113,1926.35,36.3,24.6,False
2026-04-17,HBR,140,2539.21,43.9,22.8,False
2026-04-18,RIV,130,2265.48,39.5,21.8,False
2026-04-18,MID,157,2759.76,38.0,23.4,False
2026-04-18,HBR,163,3026.48,48.4,28.1,False
2026-04-19,RIV,134,2416.94,37.5,25.5,False
2026-04-19,MID,140,2331.44,39.6,23.1,False
2026-04-19,HBR,167,2944.04,47.8,26.1,False
2026-04-20,RIV,108,1728.07,33.4,24.8,False
2026-04-20,MID,121,2151.38,38.2,24.1,False
2026-04-20,HBR,169,3143.32,46.6,22.5,True
2026-04-21,RIV,100,1523.62,31.5,27.7,False
2026-04-21,MID,142,2620.89,41.8,28.1,True
2026-04-21,HBR,151,2662.7,44.6,28.9,False
2026-04-22,RIV,128,2341.36,38.0,21.3,True
2026-04-22,MID,145,2625.99,37.6,26.6,False
2026-04-22,HBR,168,3039.9,46.5,26.0,False
2026-04-23,RIV,118,1816.68,32.8,21.9,False
2026-04-23,MID,131,2380.48,36.9,21.7,False
2026-04-23,HBR,151,2932.45,47.6,24.9,False
2026-04-24,RIV,124,2140.62,33.9,21.5,False
2026-04-24,MID,143,2504.48,36.4,20.8,False
2026-04-24,HBR,160,2680.76,46.3,24.7,False
2026-04-25,RIV,158,2434.13,38.5,24.5,False
2026-04-25,MID,161,2785.58,40.8,22.4,False
2026-04-25,HBR,179,3207.37,50.0,25.3,False
2026-04-26,RIV,140,2281.81,35.1,24.1,False
2026-04-26,MID,169,3070.15,42.9,20.0,False
2026-04-26,HBR,196,3299.68,48.1,24.4,False
2026-04-27,RIV,107,1342.74,31.9,25.4,False
2026-04-27,MID,131,2098.32,38.3,24.2,False
2026-04-27,HBR,170,2986.18,49.6,21.0,True
2026-04-28,RIV,116,1675.86,37.7,20.4,False
2026-04-28,MID,164,3106.29,42.5,20.4,True
2026-04-28,HBR,154,3233.23,46.3,23.5,False
