date,day_of_week,customers,revenue,labor_hours
2026-07-01,Wednesday,58,667.00,18
2026-07-02,Thursday,62,750.20,19
2026-07-03,Friday,79,995.40,23
2026-07-04,Saturday,91,1192.10,27
2026-07-05,Sunday,83,1029.20,25
2026-07-06,Monday,51,581.40,17
2026-07-07,Tuesday,55,638.00,17
2026-07-08,Wednesday,64,761.60,19
2026-07-09,Thursday,67,817.40,20
2026-07-10,Friday,82,1066.00,24
2026-07-11,Saturday,88,1108.80,26
2026-07-12,Sunday,76,934.80,23
2026-07-13,Monday,54,626.40,17
2026-07-14,Tuesday,60,714.00,18
