transaction_id,date,location,category,quantity,unit_price,discount,customer_type
T001,2026-03-02,Downtown,Entree,4,18.00,0.00,Member
T002,2026-03-02,Riverside,Beverage,3,5.00,0.00,Walk-in
T003,2026-03-03,Downtown,Dessert,5,8.00,0.10,Member
T004,2026-03-03,Midtown,Entree,2,16.00,0.00,Walk-in
T005,2026-03-04,Downtown,Beverage,8,5.00,0.00,Walk-in
T006,2026-03-04,Riverside,Entree,5,20.00,0.05,Member
T007,2026-03-05,Midtown,Dessert,3,9.00,0.00,Member
T008,2026-03-05,Downtown,Entree,4,17.00,0.10,Walk-in
T009,2026-03-06,Riverside,Dessert,6,9.00,0.00,Walk-in
T010,2026-03-06,Downtown,Beverage,10,4.50,0.05,Member
T011,2026-03-07,Midtown,Entree,3,18.00,0.00,Walk-in
T012,2026-03-07,Downtown,Dessert,7,8.00,0.00,Member
T013,2026-03-08,Riverside,Entree,4,21.00,0.00,Member
T014,2026-03-08,Downtown,Entree,5,19.00,0.10,Walk-in
T015,2026-03-09,Midtown,Beverage,6,5.00,0.00,Member
T016,2026-03-09,Downtown,Dessert,4,8.50,0.00,Walk-in
T017,2026-03-10,Riverside,Dessert,5,10.00,0.05,Member
T018,2026-03-10,Downtown,Entree,4,20.00,0.00,Member
T019,2026-03-11,Midtown,Entree,2,17.00,0.10,Walk-in
T020,2026-03-11,Downtown,Beverage,9,5.00,0.00,Walk-in
T021,2026-03-12,Riverside,Entree,6,22.00,0.10,Member
T022,2026-03-12,Downtown,Dessert,6,9.00,0.05,Member
T023,2026-03-13,Midtown,Dessert,4,8.00,0.00,Walk-in
T024,2026-03-13,Downtown,Entree,5,18.00,0.00,Member
