transaction_id,date,location,category,quantity,unit_price,discount,customer_type,labor_hours,gross_revenue
T001,2026-09-01,Downtown,Entree,2,14.00,0,Member,0.30,28.00
T002,09/02/2026,downtown,Beverage,3,4.50,0,Guest,0.15,13.50
T003,2026/09/03,Downtown ,Dessert,1,8.00,0.10,Member,0.10,8.00
T004,Sep 4 2026,DOWNTOWN,Drinks,2,5.00,0,Guest,0.10,10.00
T005,2026-09-05,Riverside,Entree,4,16.00,0.05,Member,0.50,64.00
T006,2026-09-06,Airport,beverage,2,4.00,0,Guest,0.10,8.00
T007,2026-09-07,Riverside,,1,9.00,0,Member,0.10,9.00
T008,2026-09-08,Airport,Entree,5,,0.10,Corporate,0.60,100.00
T009,2026-09-09,Downtown,Dessert,,7.50,0,Guest,0.10,
T010,2026-09-10,Riverside,Beverage,five,4.25,0,Member,0.20,
T011,2026-09-11,Airport,Entree,-2,13.00,0,Guest,0.20,-26.00
T012,2026-09-12,Downtown,Entree,2,0,0,Member,0.20,0
T013,2026-09-13,Riverside,Dessert,2,7.00,1.5,Guest,0.15,14.00
T014,2026-09-14,Airport,Beverage,3,4.50,0,,0.15,13.50
T015,2026-13-05,Downtown,Entree,2,15.00,0.05,Member,0.25,30.00
T016,2026-09-16,Riverside,Entree,3,17.00,0.10,Corporate,-1.0,51.00
T017,2026-09-17,Airport,Dessert,2,8.50,0,Guest,0.10,17.00
T018,2026-09-18,Downtown,Beverage,4,4.75,0.05,Member,0.15,19.00
T019,2026-09-19,Riverside,Entree,2,18.00,0,Guest,0.25,36.00
T020,2026-09-20,Airport,Dessert,3,7.50,0.10,Member,0.15,22.50
T021,2026-09-21,Downtown,Drinks,5,5.00,0,Corporate,0.20,25.00
T022,2026-09-22,Riverside,Entree,1,19.00,0,Guest,0.15,19.00
T023,2026-09-23,Airport,Beverage,6,4.00,0.05,Member,0.20,24.00
T024,2026-09-24,Downtown,Dessert,2,9.00,0,Guest,0.10,18.00
T025,2026-09-25,Riverside,Entree,4,15.50,0.10,Member,0.45,62.00
T026,2026-09-26,Airport,Beverage,3,4.50,0,Guest,0.15,13.50
T027,2026-09-27,Downtown,Catering,50,25.00,0,Corporate,6.0,1250.00
T028,2026-09-28,Riverside,Dessert,2,8.00,0.05,Member,0.10,16.00
T029,2026-09-29,Airport,Entree,3,14.50,0,Guest,0.35,43.50
T030,2026-09-30,Downtown,Beverage,2,5.25,0,Member,0.10,10.50
T031,2026-10-01,Riverside,Entree,2,16.50,0.05,Guest,0.25,33.00
T032,2026-10-02,Airport,Dessert,2,8.00,0,Member,0.10,16.00
T033,2026-10-03,Downtown,Entree,3,14.00,0.10,Guest,0.30,42.00
T034,2026-10-04,Riverside,Beverage,4,4.25,0,Member,0.15,17.00
T035,2026-10-05,Airport,Entree,2,15.00,0.05,Corporate,0.25,30.00
T036,2026-10-06,Downtown,Dessert,3,8.00,0,Guest,0.15,24.00
T037,2026-10-07,Riverside,Entree,1,20.00,0,Member,0.15,20.00
T038,2026-10-08,Airport,Beverage,5,4.00,0.10,Guest,0.20,20.00
T039,2026-10-09,Downtown,Entree,2,13.50,0,Member,0.25,27.00
T040,2026-10-10,Riverside,Dessert,2,7.50,0.05,Guest,0.10,15.00
T020,2026-09-20,Airport,Dessert,3,7.50,0.10,Member,0.15,22.50
T032,2026-10-02,Airport,Dessert,2,80.00,0,Member,0.10,160.00
