transaction_id,date,location_id,customer_id,category,net_revenue
T001,2026-08-24,L01,C01,Beverage,120
T002,2026-08-24,L01,C02,Entree,80
T003,2026-08-24,L01,C03,Dessert,65
T004,2026-08-24,L01,C04,Beverage,55
T005,2026-08-24,L02,C05,Beverage,150
T006,2026-08-24,L02,C06,Entree,110
T007,2026-08-24,L02,C07,Dessert,90
T008,2026-08-24,L03,C08,Beverage,95
T009,2026-08-24,L03,C09,Entree,85
T010,2026-08-25,L01,C10,Beverage,140
T011,2026-08-25,L01,C01,Entree,105
T012,2026-08-25,L01,C02,Dessert,75
T013,2026-08-25,L02,C03,Beverage,180
T014,2026-08-25,L02,C04,Entree,125
T015,2026-08-25,L03,C05,Beverage,130
T016,2026-08-25,L03,C06,Entree,100
T017,2026-08-25,L03,C07,Dessert,70
T018,2026-08-26,L01,C08,Beverage,160
T019,2026-08-26,L01,C09,Entree,115
T020,2026-08-26,L02,C10,Beverage,210
T021,2026-08-26,L02,C01,Entree,145
T022,2026-08-26,L02,C02,Dessert,95
T023,2026-08-26,L03,C03,Beverage,155
T024,2026-08-26,L03,C04,Entree,120
T025,2026-08-26,L03,C05,Dessert,80
